Features,Best Model,Train Precision,Train Reward,Test Precision,Test Reward,Best Threshold
"('bb_middle_crossing_4h', 'adx_max_4h', 'macd_slope')",XGBClassifier,0.5,0,0.5,0,0.6
"('macd_zero', 'macd', 'ema_10_50')",XGBClassifier,0.27906976744186046,-19,0.3076923076923077,-5,0.55
"('cci_4h', 'adx_max_48', 'adx_4h')",XGBClassifier,0.18737446197991392,-2179,0.1923509561304837,-547,0.5
"('rsi_convergence', 'macd_max_4h', 'williams_limit_4h')",XGBClassifier,0.20181219110378912,-724,0.2442528735632184,-178,0.55
"('rsi', 'rsi_convergence', 'williams_break')",XGBClassifier,0.30718954248366015,-59,0.358974358974359,-11,0.55
"('rsi_convergence', 'rsi_convergence5_40', 'adx')",XGBClassifier,0.22198275862068967,-258,0.2357142857142857,-74,0.55
"('macd_convergence', 'adx_max_48', 'squeeze_momentum')",XGBClassifier,0.22755555555555557,-613,0.25,-160,0.5
"('bb_sqeeze_both_direction_4h', 'ema_20_channel', 'bb_middle_crossing_4h')",XGBClassifier,0.2709677419354839,-71,0.17073170731707318,-27,0.6
"('macd', 'rsi_convergence5_40', 'adx_max_4h')",XGBClassifier,0.23514851485148514,-214,0.23595505617977527,-47,0.55
"('adx_slope', 'bb_middle_crossing', 'ema_10_50')",XGBClassifier,0.3333333333333333,-37,0.3870967741935484,-7,0.55
"('cci_4h', 'rsi_convergence', 'adx_4h')",XGBClassifier,0.2627551020408163,-186,0.2764227642276423,-55,0.55
"('bb_middle_crossing', 'ema_10_50', 'williams_limit_4h')",XGBClassifier,0.2452153110047847,-426,0.2288135593220339,-128,0.55
"('adx_slope', 'cci', 'williams_break')",XGBClassifier,0.2796833773087071,-167,0.2647058823529412,-48,0.55
"('macd_zero', 'macd_max_4h', 'candle_4h')",XGBClassifier,0.1886099203919167,-3051,0.18553459119496854,-800,0.5
"('bb_middle_crossing_4h', 'rsi_convergence5_40', 'adx_max_4h')",XGBClassifier,0.5,0,0.5,0,0.6
"('macd_convergence', 'squeeze_momentum', 'ema_20_channel')",RandomForestClassifier,0.5454545454545454,1,0.5,0,0.45
"('macd_max', 'bb_sqeeze_both_direction_4h', 'adx_max_21')",XGBClassifier,0.21311475409836064,-35,0.2,-9,0.55
"('cci_4h', 'ema_10_50', 'macd_slope_4h')",XGBClassifier,0.2677165354330709,-59,0.24,-13,0.55
"('rsi', 'williams_break', 'williams_limit_4h')",XGBClassifier,0.28125,-28,0.18181818181818182,-7,0.6
"('macd_max', 'macd_convergence', 'ema_10_50')",XGBClassifier,0.2625,-114,0.35384615384615387,-19,0.6
"('macd_max', 'williams_limit_4h', 'adx')",XGBClassifier,0.17974477328265,-4718,0.18694196428571427,-1122,0.5
"('cci', 'cci_4h', 'candle_4h')",XGBClassifier,0.21099887766554434,-515,0.2384937238493724,-125,0.55
"('macd_zero', 'cci', 'adx')",XGBClassifier,0.23275862068965517,-248,0.2127659574468085,-81,0.55
"('cci', 'cci_4h', 'rsi_convergence5_40')",XGBClassifier,0.19476744186046513,-1470,0.18968133535660092,-409,0.5
"('adx_slope', 'adx_max_48', 'ema_20_channel')",XGBClassifier,0.24806201550387597,-130,0.2535211267605634,-35,0.55
"('cci', 'rsi', 'williams_break')",XGBClassifier,0.2517985611510791,-138,0.2073170731707317,-48,0.6
"('cci_4h', 'rsi_break_4h', 'adx_4h')",XGBClassifier,0.1872637394591451,-2151,0.19340159271899887,-539,0.5
"('ema_10_50', 'bb_middle_crossing_4h', 'adx_max_21')",XGBClassifier,0.4,-2,0.5,0,0.55
"('cci', 'rsi_limit_4h', 'bb_middle_crossing')",XGBClassifier,0.2702702702702703,-102,0.25806451612903225,-30,0.6
"('rsi_limit_4h', 'adx_max_48', 'ema_20_channel')",XGBClassifier,0.22295081967213115,-338,0.14864864864864866,-104,0.55
"('cci', 'rsi_convergence', 'macd_slope_4h')",XGBClassifier,0.3333333333333333,-7,0.3333333333333333,-2,0.6
"('rsi', 'squeeze_momentum', 'macd_slope')",XGBClassifier,0.31,-38,0.3181818181818182,-8,0.6
"('macd', 'macd_max_4h', 'williams_break')",XGBClassifier,0.273972602739726,-66,0.275,-18,0.6
"('ema_20_channel', 'rsi_convergence5_40', 'adx_max_21')",XGBClassifier,0.2755102040816326,-44,0.2608695652173913,-11,0.6
"('macd_convergence', 'rsi_limit_4h', 'squeeze_momentum')",XGBClassifier,0.24872448979591838,-394,0.25,-112,0.55
"('rsi_break_4h', 'ema_20_channel', 'candle_4h')",XGBClassifier,0.24615384615384617,-66,0.18421052631578946,-24,0.6
"('macd_max', 'squeeze_momentum', 'bb_sqeeze_both_direction')",XGBClassifier,0.18376487053883836,-4519,0.19807037457434734,-1064,0.5
"('rsi', 'squeeze_momentum', 'bb_sqeeze_both_direction')",XGBClassifier,0.23429951690821257,-220,0.2072072072072072,-65,0.55
"('macd_convergence', 'adx_max_48', 'candle_4h')",XGBClassifier,0.2620320855614973,-267,0.2848101265822785,-68,0.55
"('macd_max', 'adx_slope', 'rsi_convergence5_40')",XGBClassifier,0.20869803063457332,-2130,0.22111111111111112,-502,0.5
"('rsi_break_4h', 'macd', 'macd_slope_4h')",XGBClassifier,0.2001321003963012,-908,0.20155038759689922,-231,0.55
"('rsi', 'candle_4h', 'macd_slope')",XGBClassifier,0.1857041082878176,-2647,0.18352059925093633,-676,0.5
"('macd_max', 'ema_10_50', 'adx_4h')",XGBClassifier,0.20041536863966772,-1731,0.1986842105263158,-458,0.55
"('rsi_convergence', 'bb_middle_crossing_4h', 'adx')",XGBClassifier,0.3684210526315789,-5,0.2857142857142857,-3,0.6
"('macd_convergence', 'cci_4h', 'adx_max_48')",XGBClassifier,0.22755555555555557,-613,0.25,-160,0.55
"('macd_max', 'macd_convergence', 'rsi_limit_4h')",XGBClassifier,0.17316319409829528,-6557,0.18570287539936103,-1574,0.5
"('rsi_break_4h', 'rsi_convergence5_40', 'macd_slope')",XGBClassifier,0.17812105926860025,-4084,0.17464263517712866,-1047,0.5
"('adx_max_48', 'rsi_convergence', 'adx_max_21')",XGBClassifier,0.2624113475177305,-67,0.25,-14,0.55
"('bb_middle_crossing', 'candle_4h', 'bb_sqeeze_both_direction')",XGBClassifier,0.24814264487369986,-339,0.2631578947368421,-81,0.6
"('bb_sqeeze_both_direction_4h', 'macd_max_4h', 'adx_max_21')",XGBClassifier,0.16812784374653203,-5981,0.17639198218262805,-1453,0.5
"('bb_middle_crossing_4h', 'adx_max_21', 'macd_slope_4h')",XGBClassifier,0.26666666666666666,-14,0.2,-6,0.55
"('macd', 'macd_slope_4h', 'adx')",XGBClassifier,0.2099946836788942,-1091,0.20634920634920634,-296,0.55
"('adx_max_48', 'squeeze_momentum', 'ema_20_channel')",XGBClassifier,0.20512820512820512,-207,0.26506024096385544,-39,0.55
